_id,中标时间,项目名称,中标金额(万元),中标公司,城市,中标年份,中标月份
6523fe16e56a2f842023c08a,2022-05-16,通州区2022年西集镇平原重点区域造林绿化工程（施工）,2671.0,北京盛世润禾生态建设有限公司,北京,2022,5
6523fe16e56a2f842023c08b,2022-05-16,大兴区2022年黄村镇临时绿化建设工程四标段,843.0,北京乾建绿化工程有限公司,北京,2022,5
6523fe16e56a2f842023c08c,2022-05-16,2022年丰台区高鑫郊野公园提升改造工程,157.0,中兴鸿业建设集团有限公司,北京,2022,5
6523fe16e56a2f842023c08d,2022-05-16,2022年丰台区看丹郊野公园西区基础设施及绿化提升工程,159.0,北京华丽源园林绿化工程公司,北京,2022,5
6523fe16e56a2f842023c08e,2022-05-16,2022年海淀区林木有害生物监测、巡查及应急防治1包,272.0,北京市新海园林工程有限公司,北京,2022,5
6523fe16e56a2f842023c08f,2022-05-16,2022年海淀区林木有害生物监测、巡查及应急防治2包,183.0,北京绿宜生植物养护科技有限公司,北京,2022,5
6523fe16e56a2f842023c090,2022-05-16,2022年东城区古树名木保护,378.0,北京旺运绿化服务有限公司,北京,2022,5
6523fe16e56a2f842023c091,2022-05-16,国有林场森林综合管护经费项目1包,382.0,北京木丰林业科技有限公司,北京,2022,5
6523fe16e56a2f842023c092,2022-05-16,国有林场森林综合管护经费项目2包,317.0,北京世纪绿萌园林绿化工程有限公司,北京,2022,5
6523fe16e56a2f842023c093,2022-05-13,2022林改市转移支付资金园林绿化工程施工采购项目（2022年石景山区全龄友好公园改造提升工程（二标段））,870.0,北京市花木有限公司,北京,2022,5
6523fe16e56a2f842023c094,2022-05-13,通州区宋庄格拉斯重点地块绿化建设工程（施工）,1882.0,北京京彩弘景园林工程有限公司,北京,2022,5
6523fe16e56a2f842023c095,2022-05-13,美丽乡村长效管护项目,296.0,北京青乔园林绿化有限公司,北京,2022,5
6523fe16e56a2f842023c096,2022-05-13,北京世纪坛急诊楼、昌南07标等地块占地恢复工程园林绿化工程施工采购项目,281.0,北京市新海园林工程有限公司,北京,2022,5
6523fe16e56a2f842023c097,2022-05-13,安定镇域内绿地养护其他环境治理服务,204.0,北京安海之弋园林古建工程有限公司,北京,2022,5
6523fe16e56a2f842023c098,2022-05-13,崔各庄乡2022年农田基础设施建设项目,246.0,北京六合怡景园林绿化工程有限公司,北京,2022,5
6523fe16e56a2f842023c099,2022-05-12,大兴区2022年黄村镇临时绿化建设工程一标段,614.0,北京华景域园林工程有限公司,北京,2022,5
6523fe16e56a2f842023c09a,2022-05-12,新街口街道绿化养护委托管理服务项目,202.0,北京西城园林绿化有限责任公司,北京,2022,5
6523fe16e56a2f842023c09b,2022-05-12,2022年马连洼地区自管绿地绿化养护项目,144.0,北京五环清馨园林绿化有限公司,北京,2022,5
6523fe16e56a2f842023c09c,2022-05-11,永泰1、2号路环境建设项目（施工）,850.0,北京丹青园林绿化有限责任公司,北京,2022,5
6523fe16e56a2f842023c09d,2022-05-11,2022林改市转移支付资金园林绿化工程施工采购项目（2022年石景山区小微绿地建设工程（施工））,404.0,北京金都园林绿化有限责任公司,北京,2022,5
6523fe16e56a2f842023c09e,2022-05-11,延庆区沈家营镇2022年平原重点区域造林绿化工程,1111.0,常州创新园林工程有限公司,北京,2022,5
6523fe16e56a2f842023c09f,2022-05-11,青云店镇大回城村等19个村美丽乡村建设项目（六标段）,168.0,北京日出枫林园林工程有限公司,北京,2022,5
6523fe16e56a2f842023c0a0,2022-05-11,通州区2022年潞城镇平原重点区域造林绿化工程二标段（施工）,610.0,北京三好筑业建设工程有限公司,北京,2022,5
6523fe16e56a2f842023c0a1,2022-05-11,古树名木保护其他服务采购项目（朝阳区2022年市级转移支付资金古树名木保护）（第一包）,99.0,北京市南郊花圃有限公司,北京,2022,5
6523fe16e56a2f842023c0a2,2022-05-11,古树名木保护其他服务采购项目（朝阳区2022年市级转移支付资金古树名木保护）（第二包）,49.0,北京原溪谷生态景观科技发展有限公司,北京,2022,5
6523fe16e56a2f842023c0a3,2022-05-11,古树名木保护其他服务采购项目（朝阳区2022年市级转移支付资金古树名木保护）（第三包）,49.0,北京中农纯静园林科技有限公司,北京,2022,5
